Název provozovatele,B/H - IČ provozovatele (u fyzické osoby pokud bylo přiděleno),C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - ulice,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - PSČ,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - obec,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - okres,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - kraj,"C/CH - datová schránka, má-li ji subjekt zřízenou",D - předmět činnosti,E - právní forma,G - datum narození provozovatele - fyzické osoby,I - NÁZEV KNIHOVNY,R - EVIDENČNÍ ČÍSLO KNIHOVNY,J - druh knihovny,Kategorie - pomocný sloupec,K - adresa knihovny: ulice,K - adresa knihovny: PSČ,K - adresa knihovny: město,K - adresa knihovny: okres,K - adresa knihovny: kraj,M - emailový kontakt na autora záznamu,N - e-mailový kontakt na knihovnu,"O - odkaz na webovou stránku knihovny, respektive odkaz na informace o knihovně na webových stránkách provozovatele",P - provozní doba knihovny,Q - další informace,X - sigla,S - datum vytvoření záznamu,T - datum evidence knihovny,XXT - schvalovatel záznamu,U - datum aktualizace záznamu,XXU - schvalovatel aktualizace záznamu,aktivní / zrušená (vyřazená z evidence),V - datum vyřazení,XXV - vyřadil z evidence,W - důvod vyřazení z evidence,Y - číslo jednací,Poznámka
Obec Kralice na Hané,288390,Masarykovo náměstí 41,798 12,Kralice na Hané,Prostějov,Olomoucký,,obecní úřad,,,Základní knihovna v Kralicích na Hané,1,základní,public,Masarykovo náměstí 41,798 12,Kralice na Hané,Prostějov,Olomoucký,, ,, ,, ,2003-05-23,2002-07-15 00:00:00,Čermáková,,,A,, ,,k 17457/2001,
Obec Lukavice,270431,Lukavice,538 21,Slatiňany,Chrudim,Pardubický,,obecní úřad,,,Základní knihovna v Lukavici,2,základní,public,Lukavice 1,538 21,Slatiňany,Chrudim,Pardubický,, ,, ,, ,2003-05-23,2002-07-15 00:00:00,Čermáková,,,A,, ,,k 205984/2001,
Muzeum Beskyd Frýdek-Místek,95630,Hluboká 66,738 01,Frýdek-Místek,Frýdek-Místek,Moravskoslezský,,"uchování, zpracování a zpřístupňování sbírek muzejní povahy",,,Studijní knihovna Muzea Beskyd Frýdek - Místek,3,základní se specializovaným knihovním fondem,muzejní,Hluboká 66,738 01,Frýdek-Místek,Frýdek-Místek,Moravskoslezský,,muzeumbeskyd@telecom.cz,,"9.00-11.00, 13.00-14.30  -  9.00-11.00, 13.00-14.30 - 9.00-11.00, 13.00-16.00 - 9.00-11.00, 13.00-14.30 ",,FMR 301,2003-05-23,2002-07-15 00:00:00,Čermáková,,,A,, ,,k 20588/2001,
Městská kulturní zařízení v Bělé pod Bezdězem,62451502,Masarykovo náměstí 140,294 21,Bělá pod Bezdězem,Mladá Boleslav,Středočeský,,zajišťování kulturních hodnot a aktivit,,,Městská knihovna Vladimíra Holana,4,základní,public,Masarykovo náměstí 140,294 21,Bělá pod Bezdězem,Mladá Boleslav,Středočeský,,mekz@knihovnabelapb.cz,, ,,MBG 505,2003-05-23,2002-07-15 00:00:00,Čermáková,,,A,, ,,k 606/2002,
Město Loket,259489,T. G. Masaryka 1,357 33,Loket,Sokolov,Karlovarský,,městský úřad,,,Městská knihovna Loket,5,základní,public,T. G. Masaryka 96,357 33,Loket,Sokolov,Karlovarský,, ,http://www.mkloket.cz, ,,SOG501,2003-05-23,2002-07-15 00:00:00,Čermáková,,,A,, ,,k 499/2002,
Obec Tlustice,233897,Tlustice 203,268 01,Hořovice,Beroun,Středočeský,,obecní úřad,,,Základní knihovna Tlustice,6,základní,public,Tlustice 203,268 01,Hořovice,Beroun,Středočeský,, ,, ,, ,2003-05-23,2002-07-15 00:00:00,Čermáková,,,A,, ,,k 447/2002,
Město Heřmanův Městec,270041,Havlíčkova čp. 801,538 03,Heřmanův Městec,Chrudim,Pardubický,,městský úřad,,,Městská knihovna v Heřmanově Městci,7,základní,public,Náměstí Míru 288,538 03,Heřmanův Městec,Chrudim,Pardubický,, ,,"10.00-11.00, 11.30-17.30 - 10.00-11.00, 11.30-17.30 - 10.00-11.00, 11.30-15.00 ",,CRG502,2003-05-23,2002-07-15 00:00:00,Čermáková,2022-05-23 00:00:00,St. Firstová,A,, ,,k 9375/2002,
Obec Blanné,600130,Blanné 27,671 54,Hostim,Znojmo,Jihomoravský,,obecní úřad,,,Místní knihovna v Blanném,8,základní,public,Blanné 27,671 54,Hostim,Znojmo,Jihomoravský,, ,,15.00-17.00 ,, ,2003-05-27,2002-07-15 00:00:00,Čermáková,,,A,, ,,k 999/2002,
Obec Úherčice,43500081,Heřmanův Městec,538 03,Heřmanův Městec,Chrudim,Pardubický,,obecní úřad,,,Obecní knihovna v Úherčicích,9,základní,public,Úheřčice 32,538 03,Heřmanův Městec,Chrudim,Pardubický,, ,, ,, ,2003-05-27,2002-07-15 00:00:00,Čermáková,,,A,, ,,k 1441/2002,
Obec Holetín,270105,Holetín 105,539 71,Holetín,Chrudim,Pardubický,,obecní úřad,,,Obecní knihovna v Holetíně,10,základní,public,Holetín 105,539 71,Holetín,Chrudim,Pardubický,, ,, ,, ,2003-05-27,2002-07-15 00:00:00,Čermáková,,,V,2008-03-30 00:00:00,St. Firstová,,k 461/2002,"Vyřazena z evidence, knihovna zrušena"
Obec Hostim,292842,Hostim 165,671 54,Hostim,Znojmo,Jihomoravský,,obecní úřad,,,Místní lidová knihovna Hostim,11,základní,public,Hostim 165,671 54,Hostim,Znojmo,Jihomoravský,, ,,16.00-19.00 ,, ,2003-05-27,2002-07-15 00:00:00,Čermáková,,,A,, ,,k 987/2002,
ABF - Nadace pro rozvoj architektury a stavitelství,273309,Václavské nám. 31,111 21,Praha 1,Praha,Hlavní město Praha,,"podpora výzkumu, vzdělávání, přístupu k informacím",,,Stavební knihovna,12,základní se specializovaným knihovním fondem,technická,Václavské nám. 31,111 21,Praha 1,Praha,Hlavní město Praha,, ,, ,, ,2003-05-27,2002-07-15 00:00:00,Čermáková,,,A,, ,,k 2211/2002,
Obec Perálec,270661,Perálec 24,539 44,Proseč u Skutče,Chrudim,Pardubický,,obecní úřad,,,Základní obecní knihovna v Perálci,13,základní,public,Perálec 24,539 44,Proseč u Skutče,Chrudim,Pardubický,, ,, ,, ,2003-05-28,2002-07-15 00:00:00,Čermáková,,,A,, ,,k 240/2002,
Městská část Praha-Běchovice,240044,Za Poštovskou zahradou 479,190 11,Praha Běchovice,Praha,Hlavní město Praha,,úřad městské části,,,Místní knihovna v Běchovicích,14,základní,public,Za Poštovskou zahradou 479,190 11,Praha Běchovice,Praha,Hlavní město Praha,, ,, ,,ABG033,2003-05-28,2002-07-15 00:00:00,Čermáková,,,A,, ,,k 480/2002,
Dům kultury Milevsko,48257460,Nádražní 846,399 01,Milevsko,Písek,Jihočeský,,zajišťování kulturních hodnot a aktivit,,,Knihovna Domu kultury Milevsko,15,základní,public,Nádražní 846,399 01,Milevsko,Písek,Jihočeský,, ,,"13.00-18.00 - 9.00-11.00, 13.00-18.00 - 12.00-16.00 ",,PIG501,2003-05-28,2002-07-15 00:00:00,Čermáková,,,V,2011-01-31 00:00:00,M. Fojtík,,k 38/2002,"Vyřazena z evidence, knihovna zrušena"
Obec Ondřejov,240567,Choceradská 62,251 65,Ondřejov,Praha-východ,Středočeský,,obecní úřad,,,Základní knihovna Ondřejov,16,základní,public,Choceradská 62,251 65,Ondřejov,Praha-východ,Středočeský,, ,, ,, ,2003-05-28,2002-07-15 00:00:00,Čermáková,2008-04-04 00:00:00,St. Firstová,A,,,,k 2623/2002,
Obec Malhostovice,282057,Malhostovice 75,666 03,Tišnov 3,Brno-venkov,Jihomoravský,,obecní úřad,,,Obecní knihovna v Malhostovicích,17,základní,public,Malhostovice 75,666 03,Tišnov 3,Brno-venkov,Jihomoravský,, ,http://knihovnamalhostovice.webk.cz/,17.00-19.00 ,, ,2003-05-28,2002-07-15 00:00:00,Čermáková,,,A,, ,,k 2483/2002,
Obec Strachotice,293521,Strachotice 79,671 29,Strachotice,Znojmo,Jihomoravský,,obecní úřad,,,Místní knihovna ve Strachoticích,18,základní,public,Micmanice 282,671 29,Strachotice,Znojmo,Jihomoravský,, ,,16.00-18.00 ,, ,2003-05-28,2002-07-15 00:00:00,Čermáková,,,A,, ,,k 4836/2002,
Obec Týnec nad Labem,235831,Masarykovo nám. 1,281 26,Týnec nad Labem,Kolín,Středočeský,,městský úřad,,,Městská knihovna Karla Hampla v Týnci nad Labem,19,základní,public,ul. 1. Máje 498,281 26,Týnec nad Labem,Kolín,Středočeský,, ,, ,,KOG503,2003-05-28,2002-07-15 00:00:00,Čermáková,,,A,, ,,k 4278/2002,
Obec Vysoká,277606,Vysoká 33,569 43,Jevíčko,Svitavy,Pardubický,,obecní úřad,,,Obecní knihovna ve Vysoké,20,základní,public,Vysoká 33,569 43,Jevíčko,Svitavy,Pardubický,, ,, ,, ,2003-05-28,2002-07-15 00:00:00,Čermáková,,,A,, ,,k 4374/2002,
Obec Bernartice,277665,Bernartice 77,542 04,Bernartice,Trutnov,Královéhradecký,,obecní úřad,,,Místní knihovna Bernartice,21,základní,public,Bernartice 77,542 04,Bernartice,Trutnov,Královéhradecký,, ,, ,, ,2003-05-28,2002-07-15 00:00:00,Čermáková,,,A,, ,,k 5446/2002,
Obec Libušín,234630,Hálkova 140,273 06,Libušín,Kladno,Středočeský,,obecní úřad,,,Místní knihovna v Libušíně,22,základní,public,"Dům s pečovatelskou službou, Přemyslova 765",273 06,Libušín,Kladno,Středočeský,, ,, ,,KLG509,2003-05-28,2002-04-11 00:00:00,Čermáková,,,A,, ,,k 5221/2002,
Město Mnichovo Hradiště,238309,Masarykovo náměstí 1,295 01,Mnichovo Hradiště,Mladá Boleslav,Středočeský,,městský úřad,,,Městská knihovna Mnichovo Hradiště,23,základní,public,Turnovská 717,295 01,Mnichovo Hradiště,Mladá Boleslav,Středočeský,,knihovna@mnhradiste.cz,,"13.00-17.00(dětské odd.), 13.00-18.00(odd. pro dospělé)  -  10.00-12.00(odd. pro dospělé) - 13.00-17.00(dětské odd.), 13.00-17.00(odd. pro dospělé) - 13.00-18.00(dětské odd.), 13.00-18.00(odd. pro dospělé) ",,MBG002,2003-05-28,2002-07-15 00:00:00,Čermáková,2025-07-07 00:00:00,P. Doležalová,A,, ,,"k 6299/2002, MK 54934/2025 OUKKO",Změna názvu a adresy knihovny
Obec Tasovice,637611,Tasovice 67,671 25,Hodonice,Znojmo,Jihomoravský,,obecní úřad,,,Místní knihovna Tasovice,24,základní,public,Tasovice 67,671 25,Hodonice,Znojmo,Jihomoravský,, ,,13.00-18.00 - 13.00-18.00 ,,ZNG508,2003-05-28,2002-07-15 00:00:00,Čermáková,2007-07-13 00:00:00,St. Firstová,A,,,,k 9397/2002,
Městská knihovna v Praze,64467,Mariánské nám. 1/98,115 72,Praha,Praha,Hlavní město Praha,,poskytování veřejných knihovnických a informačních služeb,,,Městská knihovna v Praze,25,specializovaná,public,Mariánské nám. 1/98,115 72,Praha,Praha,Hlavní město Praha,, ,www.mlp.cz, ,,ABG001,2003-05-28,2002-07-15 00:00:00,Čermáková,,,A,, ,,k 9395/2002,
Obec Dětřichov,276561,Dětřichov 46,568 02,Svitavy,Svitavy,Pardubický,,obecní úřad,,,Obecní knihovna v Dětřichově,26,základní,public,Dětřichov 42,568 02,Svitavy,Svitavy,Pardubický,, ,, ,, ,2003-05-28,2002-07-15 00:00:00,Čermáková,,,A,, ,,k 9394/2002,
Obec Kojetice,289612,Kojetice 131,675 23,Kojetice,Třebíč,Vysočina,,obecní úřad,,,Obecní knihovna Kojetice,27,základní,public,Kojetice 131,675 23,Kojetice,Třebíč,Vysočina,, ,,16.00-18.00 ,, ,2003-05-28,2002-07-15 00:00:00,Čermáková,,,A,, ,,k 6417/2002,
Národní památkový ústav - územní odborné pracoviště v Brně,75032333,Valdštejnské nám. 3,118 01,Praha 1-Malá Strana,Praha,Hlavní město Praha,,památkový ústav,,,Historická knihovna Arcibiskupského zámku a zahrad v Kroměříži,28,základní se specializovaným knihovním fondem,NPÚ,"Arcibiskupský zámek a zahrady v Kroměříži, Sněmovní 1",767 01,Kroměříž,Kroměříž,Zlínský,, ,, ,,BOE016,2003-05-28,2002-07-15 00:00:00,Čermáková,2004-03-10 00:00:00,Čermáková,V,2022-04-19 00:00:00,St. Firstová,,k 6439/2002,"Vyřazena z evidence, knihovna zrušena"
Obec Malé Březno,556891,Malé Březno 7,403 23,Malé Březno,Ústí nad Labem,Ústecký,,obecní úřad,,,Místní knihovna v Malém Březně,29,základní,public,Malé Březno 7,403 23,Malé Březno,Ústí nad Labem,Ústecký,, ,,14.00-17.00 ,, ,2003-05-28,2002-07-15 00:00:00,Čermáková,,,A,, ,,k 6413/2002,
Psychiatrická léčebna Kosmonosy,68691,Lípy 15,293 06,Kosmonosy,Mladá Boleslav,Středočeský,,poskytování komplexní odborné psychiatrické péče,,,Lékařská knihovna Psychiatrické léčebny Kosmonosy,30,základní se specializovaným knihovním fondem,lékařská,Lípy 15,293 06,Kosmonosy,Mladá Boleslav,Středočeský,, ,, ,,MBE702,2002-07-15,2002-07-15 00:00:00,Čermáková,,,A,, ,,k 6393/2002,
Město Bílina,266230,Břežánská 50/4,4148 41,Bílina,Teplice,Ústecký,,městský úřad,,,Městská knihovna v Bílině,31,základní,public,Mírové nám. 21,4148 41,Bílina,Teplice,Ústecký,, ,, ,,TPG503,2003-05-29,2002-07-15 00:00:00,Čermáková,,,A,, ,,k 6307/2002,
Obec Tachlovice,233871,Jakubská náves 8,252 17,Tachlovice,Praha-západ,Středočeský,,obecní úřad,,,Obecní knihovna Tachlovice,32,základní,public,Jakubská náves 8,252 17,Tachlovice,Praha-západ,Středočeský,, ,,19.00-21.00 - 18.00-21.00 ,, ,2003-05-29,2002-07-15 00:00:00,Čermáková,2006-03-10 00:00:00,St. Firstová,A,,,,k 9396/2002,
Státní slezská nemocnice v Opavě,47813750,Olomoucká 86,746 79,Opava,Opava,Moravskoslezský,,poskytování zdravotnických služeb,,,Oddělení vědeckých informací Státní slezské nemocnice v Opavě,33,specializovaná,,Olomoucká 86,746 79,Opava,Opava,Moravskoslezský,,ovi@nemocnice.opava.cz,, ,, ,2003-05-29,2002-07-15 00:00:00,Čermáková,,,V,2012-08-31 00:00:00,M. Fojtík,,k 6302/2002,"Vyřazena z evidence, knihovna zrušena"
Město Rokytnice v Orlických horách,275301,nám. Jindřicha Šimka 3,517 61,Rokytnice,Rychnov nad Kněžnou,Královéhradecký,,městský úřad,,,Městské informační a kulturní středisko,34,základní,public,Náměstí T.G.Masaryka 4,517 61,Rokytnice,Rychnov nad Kněžnou,Královéhradecký,, ,,"10.00-12.00, 12.30-18.00 (pouze internet) - 12.00-18.00 (vč. internetu) ",, ,2003-05-29,2002-07-15 00:00:00,Čermáková,2007-11-29 00:00:00,St. Firstová,A,,,,k 5099/2002,
Obec Kladníky,636291,Kladníky,751 31,Kladníky,Přerov,Olomoucký,,obecní úřad,,,Místní knihovna Kladníky,35,základní,public,Kladníky 21,751 31,Kladníky,Přerov,Olomoucký,, ,, ,, ,2003-05-29,2002-07-15 00:00:00,Čermáková,,,A,, ,,k 3994/2002,
Obec Klešice,15054195,Klešice 32,538 03,Heřmanův Městec,Chrudim,Pardubický,,obecní úřad,,,Obecní knihovna v Klešicích,36,základní,public,Klešice 32,538 03,Heřmanův Městec,Chrudim,Pardubický,, ,, ,,CRG511,2003-05-29,2002-07-25 00:00:00,Čermáková,,,A,, ,,k 3190/2002,
Obec Rychnov na Moravě,277312,Rychnov na Moravě,569 34,Rychnov na Moravě,Svitavy,Pardubický,,obecní úřad,,,Místní knihovna v Rychově na Moravě,37,základní,public,Rychnov na Moravě 63,569 34,Rychnov na Moravě,Svitavy,Pardubický,, ,, ,, ,2003-05-29,2002-07-15 00:00:00,Čermáková,,,A,, ,,k 3263/2002,
Obec Benátky,276375,Benátky 81,570 01,Litomyšl,Svitavy,Pardubický,,obecní úřad,,,Obecní knihovna  v Benátkách,38,základní,public,Benátky 81,570 01,Litomyšl,Svitavy,Pardubický,, ,, ,, ,2003-05-29,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 6019/2002,
"Nemocnice Vyškov, příspěvková organizace",839205,Purkyňova 36,682 01,Vyškov,Vyškov,Jihomoravský,,poskytování zdravotnických služeb,,,Lékařská knihovna Nemocnice Vyškov,39,základní se specializovaným knihovním fondem,lékařská,Purkyňova 36,682 17,Vyškov,Vyškov,Jihomoravský,,nohejlova@nemvy.cz,, ,,VYE201,2003-05-29,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 6614/2002,
Vědecká knihovna v Olomouci,100625,Bezručova 3,779 11,Olomouc,Olomouc,Olomoucký,,poskytování veřejných knihovnických a informačních služeb,,,Vědecká knihovna v Olomouci,40,specializovaná,krajská,Bezručova 3,779 11,Olomouc,Olomouc,Olomoucký,, ,, ,,OLA001,2003-05-29,2002-07-16 00:00:00,Čermáková,2006-06-21 00:00:00,St. Firstová,A,,,,k 6666/2002,
Obec Rokytnice nad Rokytnou,290360,Rokytnice nad Rokytnou 67,675 25,Rokytnice nad Rokytnou,Třebíč,Vysočina,,obecní úřad,,,Obecní knihovna v Rokytnici nad Rokytnou,41,základní,public,Rokytnice nad Rokytnou 67,675 25,Rokytnice nad Rokytnou,Třebíč,Vysočina,, ,,15.00-18.00 (17.00-20.00 internet) ,, ,2003-05-29,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 6755/2002,
Obec Vrážné,579661,Vrážné 34,569 43,Jevíčko,Svitavy,Pardubický,,obecní úřad,,,Obecní knihovna ve Vrážném,42,základní,public,Vrážné 34,569 43,Jevíčko,Svitavy,Pardubický,, ,, ,, ,2003-05-29,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 5892/2002,
Obec Zderaz,15054225,Zderaz 54,539 44,Proseč u Skutče,Chrudim,Pardubický,,obecní úřad,,,Obecní knihovna ve Zderazi,43,základní,public,Zderaz 54,539 44,Proseč u Skutče,Chrudim,Pardubický,, ,, ,, ,2002-05-29,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 6939/2002,
"Městská knihovna Valašské Meziříčí, příspěvková organizace",64123421,Nábřeží 268,757 01,Valašské Meziříčí,Vsetín,Zlínský,,poskytování veřejných knihovnických a informačních služeb,,,"Městská knihovna Valašské Meziříčí, příspěvková organizace",44,základní,public,Nábřeží 268,757 01,Valašské Meziříčí,Vsetín,Zlínský,, ,www.mekvalmez.cz, ,,VSG501,2003-05-29,2002-07-16 00:00:00,Čermáková,"9.2.2008, 6.1.2020",St. Firstová; S. Poláková,A,,,,"k 7108/2002;
MK 51251/2020 OULK",
Obec Předhradí,654621,Předhradí 80,539 74,Předhradí,Chrudim,Pardubický,,obecní úřad,,,Obecní knihovna Předhradí,45,základní,public,Předhradí 80,539 74,Předhradí,Chrudim,Pardubický,, ,, ,, ,2003-05-29,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 7099/2002,
Obec Raná,270814,Raná 16,539 72,Raná,Chrudim,Pardubický,,obecní úřad,,,Obecní knihovna Raná,46,základní,public,Raná 16,539 72,Raná,Chrudim,Pardubický,, ,, ,, ,2003-05-29,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 7107/2002,
Město Skuteč,270903,Palackého nám. 144,539 73,Skuteč,Chrudim,Pardubický,,poskytování veřejných knihovnických a informačních služeb,,,Městská knihovna Skuteč,47,základní,public,Smetanova 254,539 73,Skuteč,Chrudim,Pardubický,, ,,"7.00-11.00(internet)  -  9.00-11.30, 12.00-18.00(internet - 7.00-11.30, 12.00-18.00 - 9.00-11.30, 12.00-15.00(internet 7.00-11.30, 12.00-15.00 - 9.00-11.30, 12.00-18.00(internet 7.00-11.30, 12.00-18.00) - 7.00-11.00(internet) ",,CRG505,2002-05-29,2002-07-16 00:00:00,Čermáková,2023-11-08 00:00:00,A. Matoušová,A,, ,,k 7103/2002,
"Gender Studies, o.p.s.",25737058,Klimentská 17,110 00,Praha 1,Praha,Hlavní město Praha,,informační a poradenské centrum pro práva žen,,,Knihovna Jiřiny Šiklové,48,základní se specializovaným knihovním fondem,specializovaná,Masarykovo nábřeží 8,120 00,Praha 2,Praha,Hlavní město Praha,,library@genderstudies.cz,, ,, ,2003-05-29,2002-07-16 00:00:00,Čermáková,2022-07-26 00:00:00,St. Firstová,A,, ,,k 7144/2002,
Obec Francova Lhota,303755,Francova Lhota 325,756 14,Francova Lhota,Vsetín,Zlínský,,obecní úřad,,,Místní knihovna Francova Lhota,49,základní,public,Francova Lhota 325,756 14,Francova Lhota,Vsetín,Zlínský,, ,, ,,VSG514,2003-05-29,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 7169/2002,
Obec Podhradí nad Dyjí,636924,Podhradí nad Dyjí 48,671 06,Šafov,Znojmo,Jihomoravský,,obecní úřad,,,Místní knihovna Podhradí nad Dyjí,50,základní,public,Podhradí nad Dyjí 48,671 06,Šafov,Znojmo,Jihomoravský,, ,, ,, ,2003-05-29,2002-07-16 00:00:00,Čermáková,,,V,2011-01-31 00:00:00,M. Fojtík,,k 7252/2002,"Vyřazena z evidence, knihovna zrušena"
Obec Stošíkovice na Louce,637581,Stošíkovice na Louce 12,671 61,Prosiměřice,Znojmo,Jihomoravský,,obecní úřad,,,Obecní knihovna ve Stošíkovicích na Louce,51,základní,public,Stošíkovice na Louce 10,671 61,Prosiměřice,Znojmo,Jihomoravský,, ,,17.00-19.00 - 15.00-17.00 ,, ,2003-05-30,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 7420/2002,
Obec Ostroměř,271900,Ostroměř,507 52,Ostroměř,Jičín,Královéhradecký,,obecní úřad,,,Obecní knihovna Eduarda Štorcha,52,základní,public,Ostroměř,507 52,Ostroměř,Jičín,Královéhradecký,, ,, ,,JCG510,2003-05-30,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 7471/2002,
Město Fulnek,297861,Nám. Komenského 12,742 45,Fulnek,Nový Jičín,Moravskoslezský,,městský úřad,,,Komenského knihovna Fulnek,53,základní,public,Sborová 81,742 45,Fulnek,Nový Jičín,Moravskoslezský,, ,,"9.00-12.00, 13.00-18.00  -  9.00-12.00, 13.00-18.00 - 13.00-18.00 ",, ,2003-05-30,2002-07-16 00:00:00,Čermáková,"23.05.2022, 15.03.2024","St. Firstová, P. Doležalová",A,, ,,"k 7467/2002, MK 21937/2024 OUKKO",
"Střední a vyšší zdravotnická škola, Teplice",673561,Kapelní 2,415 01,Teplice,Teplice,Ústecký,,výchova a vzdělávání žáků,,,Knihovna Střední zdravotnické a Vyšší zdravotnické školy,54,základní,"SŠ, VOŠ, SŠ a VOŠ, jazykové",Kapelní 2,415 01,Teplice,Teplice,Ústecký,, ,, ,,TPE203,2003-05-30,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 7347/2002,
