Nazev provozovatele|B/H - IC provozovatele (u fyzicke osoby pokud bylo prideleno)|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - ulice|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - PSC|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - obec|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - okres|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - kraj|C/CH - datova schranka, ma-li ji subjekt zrizenou|D - predmet cinnosti|E - pravni forma|G - datum narozeni provozovatele - fyzicke osoby|I - NAZEV KNIHOVNY|R - EVIDENCNI CISLO KNIHOVNY|J - druh knihovny|Kategorie - pomocny sloupec|K - adresa knihovny: ulice|K - adresa knihovny: PSC|K - adresa knihovny: mesto|K - adresa knihovny: okres|K - adresa knihovny: kraj|M - emailovy kontakt na autora zaznamu|N - e-mailovy kontakt na knihovnu|O - odkaz na webovou stranku knihovny, respektive odkaz na informace o knihovne na webovych strankach provozovatele|P - provozni doba knihovny|Q - dalsi informace|X - sigla|S - datum vytvoreni zaznamu|T - datum evidence knihovny|XXT - schvalovatel zaznamu|U - datum aktualizace zaznamu|XXU - schvalovatel aktualizace zaznamu|aktivni / zrusena (vyrazena z evidence)|V - datum vyrazeni|XXV - vyradil z evidence|W - duvod vyrazeni z evidence|Y - cislo jednaci|Poznamka
Obec Kralice na Hane|288390|Masarykovo namesti 41|798 12|Kralice na Hane|Prostejov|Olomoucky||obecni urad|||Zakladni knihovna v Kralicich na Hane|1|zakladni|public|Masarykovo namesti 41|798 12|Kralice na Hane|Prostejov|Olomoucky|| || || |2003-05-23|2002-07-15 00:00:00|Cermakova|||A|| ||k 17457/2001|
Obec Lukavice|270431|Lukavice|538 21|Slatinany|Chrudim|Pardubicky||obecni urad|||Zakladni knihovna v Lukavici|2|zakladni|public|Lukavice 1|538 21|Slatinany|Chrudim|Pardubicky|| || || |2003-05-23|2002-07-15 00:00:00|Cermakova|||A|| ||k 205984/2001|
Muzeum Beskyd Frydek-Mistek|95630|Hluboka 66|738 01|Frydek-Mistek|Frydek-Mistek|Moravskoslezsky||uchovani, zpracovani a zpristupnovani sbirek muzejni povahy|||Studijni knihovna Muzea Beskyd Frydek - Mistek|3|zakladni se specializovanym knihovnim fondem|muzejni|Hluboka 66|738 01|Frydek-Mistek|Frydek-Mistek|Moravskoslezsky||muzeumbeskyd@telecom.cz||9.00-11.00, 13.00-14.30  -  9.00-11.00, 13.00-14.30 - 9.00-11.00, 13.00-16.00 - 9.00-11.00, 13.00-14.30 ||FMR 301|2003-05-23|2002-07-15 00:00:00|Cermakova|||A|| ||k 20588/2001|
Mestska kulturni zarizeni v Bele pod Bezdezem|62451502|Masarykovo namesti 140|294 21|Bela pod Bezdezem|Mlada Boleslav|Stredocesky||zajistovani kulturnich hodnot a aktivit|||Mestska knihovna Vladimira Holana|4|zakladni|public|Masarykovo namesti 140|294 21|Bela pod Bezdezem|Mlada Boleslav|Stredocesky||mekz@knihovnabelapb.cz|| ||MBG 505|2003-05-23|2002-07-15 00:00:00|Cermakova|||A|| ||k 606/2002|
Mesto Loket|259489|T. G. Masaryka 1|357 33|Loket|Sokolov|Karlovarsky||mestsky urad|||Mestska knihovna Loket|5|zakladni|public|T. G. Masaryka 96|357 33|Loket|Sokolov|Karlovarsky|| |http://www.mkloket.cz| ||SOG501|2003-05-23|2002-07-15 00:00:00|Cermakova|||A|| ||k 499/2002|
Obec Tlustice|233897|Tlustice 203|268 01|Horovice|Beroun|Stredocesky||obecni urad|||Zakladni knihovna Tlustice|6|zakladni|public|Tlustice 203|268 01|Horovice|Beroun|Stredocesky|| || || |2003-05-23|2002-07-15 00:00:00|Cermakova|||A|| ||k 447/2002|
Mesto Hermanuv Mestec|270041|Havlickova cp. 801|538 03|Hermanuv Mestec|Chrudim|Pardubicky||mestsky urad|||Mestska knihovna v Hermanove Mestci|7|zakladni|public|Namesti Miru 288|538 03|Hermanuv Mestec|Chrudim|Pardubicky|| ||10.00-11.00, 11.30-17.30 - 10.00-11.00, 11.30-17.30 - 10.00-11.00, 11.30-15.00 ||CRG502|2003-05-23|2002-07-15 00:00:00|Cermakova|2022-05-23 00:00:00|St. Firstova|A|| ||k 9375/2002|
Obec Blanne|600130|Blanne 27|671 54|Hostim|Znojmo|Jihomoravsky||obecni urad|||Mistni knihovna v Blannem|8|zakladni|public|Blanne 27|671 54|Hostim|Znojmo|Jihomoravsky|| ||15.00-17.00 || |2003-05-27|2002-07-15 00:00:00|Cermakova|||A|| ||k 999/2002|
Obec Uhercice|43500081|Hermanuv Mestec|538 03|Hermanuv Mestec|Chrudim|Pardubicky||obecni urad|||Obecni knihovna v Uhercicich|9|zakladni|public|Uhercice 32|538 03|Hermanuv Mestec|Chrudim|Pardubicky|| || || |2003-05-27|2002-07-15 00:00:00|Cermakova|||A|| ||k 1441/2002|
Obec Holetin|270105|Holetin 105|539 71|Holetin|Chrudim|Pardubicky||obecni urad|||Obecni knihovna v Holetine|10|zakladni|public|Holetin 105|539 71|Holetin|Chrudim|Pardubicky|| || || |2003-05-27|2002-07-15 00:00:00|Cermakova|||V|2008-03-30 00:00:00|St. Firstova||k 461/2002|Vyrazena z evidence, knihovna zrusena
Obec Hostim|292842|Hostim 165|671 54|Hostim|Znojmo|Jihomoravsky||obecni urad|||Mistni lidova knihovna Hostim|11|zakladni|public|Hostim 165|671 54|Hostim|Znojmo|Jihomoravsky|| ||16.00-19.00 || |2003-05-27|2002-07-15 00:00:00|Cermakova|||A|| ||k 987/2002|
ABF - Nadace pro rozvoj architektury a stavitelstvi|273309|Vaclavske nam. 31|111 21|Praha 1|Praha|Hlavni mesto Praha||podpora vyzkumu, vzdelavani, pristupu k informacim|||Stavebni knihovna|12|zakladni se specializovanym knihovnim fondem|technicka|Vaclavske nam. 31|111 21|Praha 1|Praha|Hlavni mesto Praha|| || || |2003-05-27|2002-07-15 00:00:00|Cermakova|||A|| ||k 2211/2002|
Obec Peralec|270661|Peralec 24|539 44|Prosec u Skutce|Chrudim|Pardubicky||obecni urad|||Zakladni obecni knihovna v Peralci|13|zakladni|public|Peralec 24|539 44|Prosec u Skutce|Chrudim|Pardubicky|| || || |2003-05-28|2002-07-15 00:00:00|Cermakova|||A|| ||k 240/2002|
Mestska cast Praha-Bechovice|240044|Za Postovskou zahradou 479|190 11|Praha Bechovice|Praha|Hlavni mesto Praha||urad mestske casti|||Mistni knihovna v Bechovicich|14|zakladni|public|Za Postovskou zahradou 479|190 11|Praha Bechovice|Praha|Hlavni mesto Praha|| || ||ABG033|2003-05-28|2002-07-15 00:00:00|Cermakova|||A|| ||k 480/2002|
Dum kultury Milevsko|48257460|Nadrazni 846|399 01|Milevsko|Pisek|Jihocesky||zajistovani kulturnich hodnot a aktivit|||Knihovna Domu kultury Milevsko|15|zakladni|public|Nadrazni 846|399 01|Milevsko|Pisek|Jihocesky|| ||13.00-18.00 - 9.00-11.00, 13.00-18.00 - 12.00-16.00 ||PIG501|2003-05-28|2002-07-15 00:00:00|Cermakova|||V|2011-01-31 00:00:00|M. Fojtik||k 38/2002|Vyrazena z evidence, knihovna zrusena
Obec Ondrejov|240567|Choceradska 62|251 65|Ondrejov|Praha-vychod|Stredocesky||obecni urad|||Zakladni knihovna Ondrejov|16|zakladni|public|Choceradska 62|251 65|Ondrejov|Praha-vychod|Stredocesky|| || || |2003-05-28|2002-07-15 00:00:00|Cermakova|2008-04-04 00:00:00|St. Firstova|A||||k 2623/2002|
Obec Malhostovice|282057|Malhostovice 75|666 03|Tisnov 3|Brno-venkov|Jihomoravsky||obecni urad|||Obecni knihovna v Malhostovicich|17|zakladni|public|Malhostovice 75|666 03|Tisnov 3|Brno-venkov|Jihomoravsky|| |http://knihovnamalhostovice.webk.cz/|17.00-19.00 || |2003-05-28|2002-07-15 00:00:00|Cermakova|||A|| ||k 2483/2002|
Obec Strachotice|293521|Strachotice 79|671 29|Strachotice|Znojmo|Jihomoravsky||obecni urad|||Mistni knihovna ve Strachoticich|18|zakladni|public|Micmanice 282|671 29|Strachotice|Znojmo|Jihomoravsky|| ||16.00-18.00 || |2003-05-28|2002-07-15 00:00:00|Cermakova|||A|| ||k 4836/2002|
Obec Tynec nad Labem|235831|Masarykovo nam. 1|281 26|Tynec nad Labem|Kolin|Stredocesky||mestsky urad|||Mestska knihovna Karla Hampla v Tynci nad Labem|19|zakladni|public|ul. 1. Maje 498|281 26|Tynec nad Labem|Kolin|Stredocesky|| || ||KOG503|2003-05-28|2002-07-15 00:00:00|Cermakova|||A|| ||k 4278/2002|
Obec Vysoka|277606|Vysoka 33|569 43|Jevicko|Svitavy|Pardubicky||obecni urad|||Obecni knihovna ve Vysoke|20|zakladni|public|Vysoka 33|569 43|Jevicko|Svitavy|Pardubicky|| || || |2003-05-28|2002-07-15 00:00:00|Cermakova|||A|| ||k 4374/2002|
Obec Bernartice|277665|Bernartice 77|542 04|Bernartice|Trutnov|Kralovehradecky||obecni urad|||Mistni knihovna Bernartice|21|zakladni|public|Bernartice 77|542 04|Bernartice|Trutnov|Kralovehradecky|| || || |2003-05-28|2002-07-15 00:00:00|Cermakova|||A|| ||k 5446/2002|
Obec Libusin|234630|Halkova 140|273 06|Libusin|Kladno|Stredocesky||obecni urad|||Mistni knihovna v Libusine|22|zakladni|public|Dum s pecovatelskou sluzbou, Premyslova 765|273 06|Libusin|Kladno|Stredocesky|| || ||KLG509|2003-05-28|2002-04-11 00:00:00|Cermakova|||A|| ||k 5221/2002|
Mesto Mnichovo Hradiste|238309|Masarykovo namesti 1|295 01|Mnichovo Hradiste|Mlada Boleslav|Stredocesky||mestsky urad|||Mestska knihovna Mnichovo Hradiste|23|zakladni|public|Turnovska 717|295 01|Mnichovo Hradiste|Mlada Boleslav|Stredocesky||knihovna@mnhradiste.cz||13.00-17.00(detske odd.), 13.00-18.00(odd. pro dospele)  -  10.00-12.00(odd. pro dospele) - 13.00-17.00(detske odd.), 13.00-17.00(odd. pro dospele) - 13.00-18.00(detske odd.), 13.00-18.00(odd. pro dospele) ||MBG002|2003-05-28|2002-07-15 00:00:00|Cermakova|2025-07-07 00:00:00|P. Dolezalova|A|| ||k 6299/2002, MK 54934/2025 OUKKO|Zmena nazvu a adresy knihovny
Obec Tasovice|637611|Tasovice 67|671 25|Hodonice|Znojmo|Jihomoravsky||obecni urad|||Mistni knihovna Tasovice|24|zakladni|public|Tasovice 67|671 25|Hodonice|Znojmo|Jihomoravsky|| ||13.00-18.00 - 13.00-18.00 ||ZNG508|2003-05-28|2002-07-15 00:00:00|Cermakova|2007-07-13 00:00:00|St. Firstova|A||||k 9397/2002|
Mestska knihovna v Praze|64467|Marianske nam. 1/98|115 72|Praha|Praha|Hlavni mesto Praha||poskytovani verejnych knihovnickych a informacnich sluzeb|||Mestska knihovna v Praze|25|specializovana|public|Marianske nam. 1/98|115 72|Praha|Praha|Hlavni mesto Praha|| |www.mlp.cz| ||ABG001|2003-05-28|2002-07-15 00:00:00|Cermakova|||A|| ||k 9395/2002|
Obec Detrichov|276561|Detrichov 46|568 02|Svitavy|Svitavy|Pardubicky||obecni urad|||Obecni knihovna v Detrichove|26|zakladni|public|Detrichov 42|568 02|Svitavy|Svitavy|Pardubicky|| || || |2003-05-28|2002-07-15 00:00:00|Cermakova|||A|| ||k 9394/2002|
Obec Kojetice|289612|Kojetice 131|675 23|Kojetice|Trebic|Vysocina||obecni urad|||Obecni knihovna Kojetice|27|zakladni|public|Kojetice 131|675 23|Kojetice|Trebic|Vysocina|| ||16.00-18.00 || |2003-05-28|2002-07-15 00:00:00|Cermakova|||A|| ||k 6417/2002|
Narodni pamatkovy ustav - uzemni odborne pracoviste v Brne|75032333|Valdstejnske nam. 3|118 01|Praha 1-Mala Strana|Praha|Hlavni mesto Praha||pamatkovy ustav|||Historicka knihovna Arcibiskupskeho zamku a zahrad v Kromerizi|28|zakladni se specializovanym knihovnim fondem|NPU|Arcibiskupsky zamek a zahrady v Kromerizi, Snemovni 1|767 01|Kromeriz|Kromeriz|Zlinsky|| || ||BOE016|2003-05-28|2002-07-15 00:00:00|Cermakova|2004-03-10 00:00:00|Cermakova|V|2022-04-19 00:00:00|St. Firstova||k 6439/2002|Vyrazena z evidence, knihovna zrusena
Obec Male Brezno|556891|Male Brezno 7|403 23|Male Brezno|Usti nad Labem|Ustecky||obecni urad|||Mistni knihovna v Malem Brezne|29|zakladni|public|Male Brezno 7|403 23|Male Brezno|Usti nad Labem|Ustecky|| ||14.00-17.00 || |2003-05-28|2002-07-15 00:00:00|Cermakova|||A|| ||k 6413/2002|
Psychiatricka lecebna Kosmonosy|68691|Lipy 15|293 06|Kosmonosy|Mlada Boleslav|Stredocesky||poskytovani komplexni odborne psychiatricke pece|||Lekarska knihovna Psychiatricke lecebny Kosmonosy|30|zakladni se specializovanym knihovnim fondem|lekarska|Lipy 15|293 06|Kosmonosy|Mlada Boleslav|Stredocesky|| || ||MBE702|2002-07-15|2002-07-15 00:00:00|Cermakova|||A|| ||k 6393/2002|
Mesto Bilina|266230|Brezanska 50/4|4148 41|Bilina|Teplice|Ustecky||mestsky urad|||Mestska knihovna v Biline|31|zakladni|public|Mirove nam. 21|4148 41|Bilina|Teplice|Ustecky|| || ||TPG503|2003-05-29|2002-07-15 00:00:00|Cermakova|||A|| ||k 6307/2002|
Obec Tachlovice|233871|Jakubska naves 8|252 17|Tachlovice|Praha-zapad|Stredocesky||obecni urad|||Obecni knihovna Tachlovice|32|zakladni|public|Jakubska naves 8|252 17|Tachlovice|Praha-zapad|Stredocesky|| ||19.00-21.00 - 18.00-21.00 || |2003-05-29|2002-07-15 00:00:00|Cermakova|2006-03-10 00:00:00|St. Firstova|A||||k 9396/2002|
Statni slezska nemocnice v Opave|47813750|Olomoucka 86|746 79|Opava|Opava|Moravskoslezsky||poskytovani zdravotnickych sluzeb|||Oddeleni vedeckych informaci Statni slezske nemocnice v Opave|33|specializovana||Olomoucka 86|746 79|Opava|Opava|Moravskoslezsky||ovi@nemocnice.opava.cz|| || |2003-05-29|2002-07-15 00:00:00|Cermakova|||V|2012-08-31 00:00:00|M. Fojtik||k 6302/2002|Vyrazena z evidence, knihovna zrusena
Mesto Rokytnice v Orlickych horach|275301|nam. Jindricha Simka 3|517 61|Rokytnice|Rychnov nad Kneznou|Kralovehradecky||mestsky urad|||Mestske informacni a kulturni stredisko|34|zakladni|public|Namesti T.G.Masaryka 4|517 61|Rokytnice|Rychnov nad Kneznou|Kralovehradecky|| ||10.00-12.00, 12.30-18.00 (pouze internet) - 12.00-18.00 (vc. internetu) || |2003-05-29|2002-07-15 00:00:00|Cermakova|2007-11-29 00:00:00|St. Firstova|A||||k 5099/2002|
Obec Kladniky|636291|Kladniky|751 31|Kladniky|Prerov|Olomoucky||obecni urad|||Mistni knihovna Kladniky|35|zakladni|public|Kladniky 21|751 31|Kladniky|Prerov|Olomoucky|| || || |2003-05-29|2002-07-15 00:00:00|Cermakova|||A|| ||k 3994/2002|
Obec Klesice|15054195|Klesice 32|538 03|Hermanuv Mestec|Chrudim|Pardubicky||obecni urad|||Obecni knihovna v Klesicich|36|zakladni|public|Klesice 32|538 03|Hermanuv Mestec|Chrudim|Pardubicky|| || ||CRG511|2003-05-29|2002-07-25 00:00:00|Cermakova|||A|| ||k 3190/2002|
Obec Rychnov na Morave|277312|Rychnov na Morave|569 34|Rychnov na Morave|Svitavy|Pardubicky||obecni urad|||Mistni knihovna v Rychove na Morave|37|zakladni|public|Rychnov na Morave 63|569 34|Rychnov na Morave|Svitavy|Pardubicky|| || || |2003-05-29|2002-07-15 00:00:00|Cermakova|||A|| ||k 3263/2002|
Obec Benatky|276375|Benatky 81|570 01|Litomysl|Svitavy|Pardubicky||obecni urad|||Obecni knihovna  v Benatkach|38|zakladni|public|Benatky 81|570 01|Litomysl|Svitavy|Pardubicky|| || || |2003-05-29|2002-07-16 00:00:00|Cermakova|||A|| ||k 6019/2002|
Nemocnice Vyskov, prispevkova organizace|839205|Purkynova 36|682 01|Vyskov|Vyskov|Jihomoravsky||poskytovani zdravotnickych sluzeb|||Lekarska knihovna Nemocnice Vyskov|39|zakladni se specializovanym knihovnim fondem|lekarska|Purkynova 36|682 17|Vyskov|Vyskov|Jihomoravsky||nohejlova@nemvy.cz|| ||VYE201|2003-05-29|2002-07-16 00:00:00|Cermakova|||A|| ||k 6614/2002|
Vedecka knihovna v Olomouci|100625|Bezrucova 3|779 11|Olomouc|Olomouc|Olomoucky||poskytovani verejnych knihovnickych a informacnich sluzeb|||Vedecka knihovna v Olomouci|40|specializovana|krajska|Bezrucova 3|779 11|Olomouc|Olomouc|Olomoucky|| || ||OLA001|2003-05-29|2002-07-16 00:00:00|Cermakova|2006-06-21 00:00:00|St. Firstova|A||||k 6666/2002|
Obec Rokytnice nad Rokytnou|290360|Rokytnice nad Rokytnou 67|675 25|Rokytnice nad Rokytnou|Trebic|Vysocina||obecni urad|||Obecni knihovna v Rokytnici nad Rokytnou|41|zakladni|public|Rokytnice nad Rokytnou 67|675 25|Rokytnice nad Rokytnou|Trebic|Vysocina|| ||15.00-18.00 (17.00-20.00 internet) || |2003-05-29|2002-07-16 00:00:00|Cermakova|||A|| ||k 6755/2002|
Obec Vrazne|579661|Vrazne 34|569 43|Jevicko|Svitavy|Pardubicky||obecni urad|||Obecni knihovna ve Vraznem|42|zakladni|public|Vrazne 34|569 43|Jevicko|Svitavy|Pardubicky|| || || |2003-05-29|2002-07-16 00:00:00|Cermakova|||A|| ||k 5892/2002|
Obec Zderaz|15054225|Zderaz 54|539 44|Prosec u Skutce|Chrudim|Pardubicky||obecni urad|||Obecni knihovna ve Zderazi|43|zakladni|public|Zderaz 54|539 44|Prosec u Skutce|Chrudim|Pardubicky|| || || |2002-05-29|2002-07-16 00:00:00|Cermakova|||A|| ||k 6939/2002|
Mestska knihovna Valasske Mezirici, prispevkova organizace|64123421|Nabrezi 268|757 01|Valasske Mezirici|Vsetin|Zlinsky||poskytovani verejnych knihovnickych a informacnich sluzeb|||Mestska knihovna Valasske Mezirici, prispevkova organizace|44|zakladni|public|Nabrezi 268|757 01|Valasske Mezirici|Vsetin|Zlinsky|| |www.mekvalmez.cz| ||VSG501|2003-05-29|2002-07-16 00:00:00|Cermakova|9.2.2008, 6.1.2020|St. Firstova; S. Polakova|A||||"k 7108/2002;
MK 51251/2020 OULK"|
Obec Predhradi|654621|Predhradi 80|539 74|Predhradi|Chrudim|Pardubicky||obecni urad|||Obecni knihovna Predhradi|45|zakladni|public|Predhradi 80|539 74|Predhradi|Chrudim|Pardubicky|| || || |2003-05-29|2002-07-16 00:00:00|Cermakova|||A|| ||k 7099/2002|
Obec Rana|270814|Rana 16|539 72|Rana|Chrudim|Pardubicky||obecni urad|||Obecni knihovna Rana|46|zakladni|public|Rana 16|539 72|Rana|Chrudim|Pardubicky|| || || |2003-05-29|2002-07-16 00:00:00|Cermakova|||A|| ||k 7107/2002|
Mesto Skutec|270903|Palackeho nam. 144|539 73|Skutec|Chrudim|Pardubicky||poskytovani verejnych knihovnickych a informacnich sluzeb|||Mestska knihovna Skutec|47|zakladni|public|Smetanova 254|539 73|Skutec|Chrudim|Pardubicky|| ||7.00-11.00(internet)  -  9.00-11.30, 12.00-18.00(internet - 7.00-11.30, 12.00-18.00 - 9.00-11.30, 12.00-15.00(internet 7.00-11.30, 12.00-15.00 - 9.00-11.30, 12.00-18.00(internet 7.00-11.30, 12.00-18.00) - 7.00-11.00(internet) ||CRG505|2002-05-29|2002-07-16 00:00:00|Cermakova|2023-11-08 00:00:00|A. Matousova|A|| ||k 7103/2002|
Gender Studies, o.p.s.|25737058|Klimentska 17|110 00|Praha 1|Praha|Hlavni mesto Praha||informacni a poradenske centrum pro prava zen|||Knihovna Jiriny Siklove|48|zakladni se specializovanym knihovnim fondem|specializovana|Masarykovo nabrezi 8|120 00|Praha 2|Praha|Hlavni mesto Praha||library@genderstudies.cz|| || |2003-05-29|2002-07-16 00:00:00|Cermakova|2022-07-26 00:00:00|St. Firstova|A|| ||k 7144/2002|
Obec Francova Lhota|303755|Francova Lhota 325|756 14|Francova Lhota|Vsetin|Zlinsky||obecni urad|||Mistni knihovna Francova Lhota|49|zakladni|public|Francova Lhota 325|756 14|Francova Lhota|Vsetin|Zlinsky|| || ||VSG514|2003-05-29|2002-07-16 00:00:00|Cermakova|||A|| ||k 7169/2002|
Obec Podhradi nad Dyji|636924|Podhradi nad Dyji 48|671 06|Safov|Znojmo|Jihomoravsky||obecni urad|||Mistni knihovna Podhradi nad Dyji|50|zakladni|public|Podhradi nad Dyji 48|671 06|Safov|Znojmo|Jihomoravsky|| || || |2003-05-29|2002-07-16 00:00:00|Cermakova|||V|2011-01-31 00:00:00|M. Fojtik||k 7252/2002|Vyrazena z evidence, knihovna zrusena
Obec Stosikovice na Louce|637581|Stosikovice na Louce 12|671 61|Prosimerice|Znojmo|Jihomoravsky||obecni urad|||Obecni knihovna ve Stosikovicich na Louce|51|zakladni|public|Stosikovice na Louce 10|671 61|Prosimerice|Znojmo|Jihomoravsky|| ||17.00-19.00 - 15.00-17.00 || |2003-05-30|2002-07-16 00:00:00|Cermakova|||A|| ||k 7420/2002|
Obec Ostromer|271900|Ostromer|507 52|Ostromer|Jicin|Kralovehradecky||obecni urad|||Obecni knihovna Eduarda Storcha|52|zakladni|public|Ostromer|507 52|Ostromer|Jicin|Kralovehradecky|| || ||JCG510|2003-05-30|2002-07-16 00:00:00|Cermakova|||A|| ||k 7471/2002|
Mesto Fulnek|297861|Nam. Komenskeho 12|742 45|Fulnek|Novy Jicin|Moravskoslezsky||mestsky urad|||Komenskeho knihovna Fulnek|53|zakladni|public|Sborova 81|742 45|Fulnek|Novy Jicin|Moravskoslezsky|| ||9.00-12.00, 13.00-18.00  -  9.00-12.00, 13.00-18.00 - 13.00-18.00 || |2003-05-30|2002-07-16 00:00:00|Cermakova|23.05.2022, 15.03.2024|St. Firstova, P. Dolezalova|A|| ||k 7467/2002, MK 21937/2024 OUKKO|
Stredni a vyssi zdravotnicka skola, Teplice|673561|Kapelni 2|415 01|Teplice|Teplice|Ustecky||vychova a vzdelavani zaku|||Knihovna Stredni zdravotnicke a Vyssi zdravotnicke skoly|54|zakladni|SS, VOS, SS a VOS, jazykove|Kapelni 2|415 01|Teplice|Teplice|Ustecky|| || ||TPE203|2003-05-30|2002-07-16 00:00:00|Cermakova|||A|| ||k 7347/2002|
Obec Miretice|270504|Miretice 66|539 55|Miretice|Chrudim|Pardubicky||obecni urad|||Mistni knihovna Svihov|55|zakladni|public|Svihov 29|538 25|Nasavrky|Chrudim|Pardubicky|| || || |2003-05-30|2002-07-16 00:00:00|Cermakova|||A|| ||k 7413/2002|
